tweet_id,tweet_text,tweet_created_at,tweet_source,tweet_retweet_count,tweet_favorite_count,user_followers_count,user_created_at,victim_location,tweet_url
1623795022771458052,@Darkwebhaber Süslü sülo bak ne var burada  #yagma #iskenderun #deprem #hatay https://t.co/6h2fn6R6Qb,2023-02-09 21:24:36+00:00,Twitter for Android,0,0,115,2012-04-14 08:44:31+00:00,https://t.co/6h2fn6R6Qb,https://twitter.com/twitter/statuses/1623795022771458052
1623779829517545475,Gidebilen tüfeğinle sopasıyla tabancasıyla yağmalara karşı tedbirli gitsin hataya Maraş’a Suriyeli kılıç artıkları her türlü yağma ve zor kullanarak halka zulüm ediyor .#Hatay iskenderun,2023-02-09 20:24:14+00:00,Twitter for iPhone,0,0,333,2022-12-14 16:30:39+00:00,,https://twitter.com/twitter/statuses/1623779829517545475
1623713966491852803,"Enkazlardan ve insanların kaçarak boş bıraktığı evlerden hırsızlık yapanlar, hırsızlıktan değil, ""yağma ve talan""dan yargılanmalı.

#gemilerinizbatsın
#gaziantep
#hatay
#Kahramanmaras 
#iskenderun
#islahiye 
#AdaletBakanlığı 
@tcbestepe 
@adalet_bakanlik 
@bybekirbozdag",2023-02-09 16:02:31+00:00,Twitter for Android,1,1,1271,2012-01-12 14:27:06+00:00,,https://twitter.com/twitter/statuses/1623713966491852803
1623674195346395137,"👉BTP tüm imkanlarıyla deprem bölgesinde

#deprem #gemilerinizbatsın Üyeliğimi  Enkazdan Yağma #hatay #elbistan #adıyaman #malatya #iskenderun #hüseyinbaş #btp #AlBütünOylarSeninOlsunKemal https://t.co/bcuX2FFil8",2023-02-09 13:24:29+00:00,Twitter Web App,19,50,8887,2013-03-14 12:27:15+00:00,https://t.co/bcuX2FFil8,https://twitter.com/twitter/statuses/1623674195346395137
1623659069050421250,"*Teyitli* !!!!
Hatay iskenderun Yunus Emre mahallesi 2037 sokak no 13 kat 2 ama hocam evin karşısında dos arazideki büyük servis var. Enkazın başındalarmış Suriyeliler yağma yapıyormuş açlar kalacak yerleri yok 4 gündür sokaktalar.                  Yaşar Yılmaz +90 538 736 86 32",2023-02-09 12:24:22+00:00,Twitter for iPhone,39,2,471,2010-10-09 16:57:55+00:00,,https://twitter.com/twitter/statuses/1623659069050421250
1623637945843388416,"Suriyeliler iskenderun otoyolunda ve şehir içlerinde, tehdit ile gasp yapıyorlar. Yardım için giden 8 karavandan 4 tanesi Adanada kaldı, diğer 4 karavan ve mürettebatı ile kayıp. Aileleri merakta. #HalukLevent #hatay #depremden #yagma https://t.co/QDWMtakAl7",2023-02-09 11:00:26+00:00,Twitter for iPhone,2,2,85,2010-03-27 22:24:28+00:00,https://t.co/QDWMtakAl7,https://twitter.com/twitter/statuses/1623637945843388416
1623634449605832704,1 çorabı 50 TL ye satmaya kalkan şerefsiz Adana Sarıçam kozanyolu üzerinde bulunan simya tuhafiyenin sahibi şerefsiz insanı devletime ihbar ediyorum.#Nagehan #ingiliz #yağma #deprem #türkiye #hatay #antep #adana #elbistan #maraş #adıyaman #iskenderun #yardım #osmaniye #urfa #can,2023-02-09 10:46:33+00:00,Twitter for iPhone,0,0,1,2022-10-17 14:09:46+00:00,,https://twitter.com/twitter/statuses/1623634449605832704
1623633079255326720,"Yağma yapan görürsem kemiklerini kırmadan bırakmıycam and olsun 🤬🤬
#Allahtankorkmazkuldanutanmazlar
#deprem #hatay #antakya #dortyol #iskenderun #samandağ #kırıkhan",2023-02-09 10:41:06+00:00,Twitter for Android,1,0,5,2011-07-19 06:24:13+00:00,,https://twitter.com/twitter/statuses/1623633079255326720
1623618866180984832,"Bu yapay deprem ve nihai  hedef Hatay/iskenderun'dur....
Uzun zamandır demografik yapısı bozulmuş yabancılar ağırlıklı yaşamaktadır.
Çok fazla yağma talan hırsızlık haberi geliyor..yabancı gemilerde direk oraya geliyor...Asla boş bırakılmasın...millet askerim polisim.tetikte olun",2023-02-09 09:44:37+00:00,Twitter for Android,0,2,471,2018-09-04 06:42:58+00:00,,https://twitter.com/twitter/statuses/1623618866180984832
1623609575331995649,Deprem bölgesinde evler yağmalanıyor  kızkardeşim yıkık evine değerli eşyalarını almak için girdi #yağma #iskenderun #hatay #DepremAcil #deprembölgesi #deprem,2023-02-09 09:07:42+00:00,Twitter for iPhone,4,0,1632,2022-04-07 12:15:48+00:00,,https://twitter.com/twitter/statuses/1623609575331995649
